153	149.6
152.9	151.4
149	149
149.2	150.2
145.5	15.2
147.3	150
147.1	149.4
147.7	151.3
153.3	150.5
149.2	150.7
147.7	149.7
152.2	150.2
150	150.4
155.6	148.7
149.7	152.5
143.9	151.7
144.5	149.6
151.7	148.4
154.5	150.3
155	149
144.3	149.2
149.8	151.1
152.7	151
151.2	151
151.6	150.2
151.7	148.2
142.5	147.9
149.4	151.1
149.8	150
151.5	151.3
148.1	148.9
150.2	149.8
149.4	150.6
154.4	150.6
155.1	150.6
150.3	151.6
146.1	148.7
150.4	151
152.1	149.4
149.6	149.5
157.9	150.7
146.9	149
142.7	150.4
152.9	150.5
147.3	151.8
148.7	149.8
147.5	148.7
147.8	151.2
146.8	151.3
151.6	150
